"Kinase.Gene","mS","Enrichment","m","z.score","p.value","FDR","Line","Drug","lgpadj"
"CHEK1",-0.468678234062535,-9.19969017262051,8,-1.94325464137923,0.0259926994992958,0.145011902469756,"HCT116","Vorinostat",0.838596349731998
"MAPK3",-0.290107745048244,-7.92666457876483,16,-1.93901049458864,0.0262500301426326,0.150000172243615,"H292","TSA",0.823908242248262
"MAPK3",-0.311746707648427,-15.6939353283231,16,-1.91849215339413,0.0275243180567267,0.235922726200515,"H292","Abexinostat",0.627230221945749
"MTOR",-0.580483744131768,-9.68510900595786,5,-1.90688750542829,0.0282675782490943,0.125369319691705,"A549","Panobinostat",0.901808730800507
"CDK4",-0.759330162151969,-33.9685216720584,3,-1.89748489090367,0.0288819855201084,0.19437500165255,"A549","Vorinostat",0.711359589936775
"JAK2",-2.08798091548161,-85.001190984256,1,-1.89454256838617,0.0290765148390428,0.290765148390428,"PC9","Belinostat",0.536457649975282
"RET",-2.08798091548161,-85.001190984256,1,-1.89454256838617,0.0290765148390428,0.290765148390428,"PC9","Belinostat",0.536457649975282
"MAP3K3",-0.968987718837315,-8.45089332469559,1,-1.87650096683001,0.0302932610325309,0.135154549222061,"PSC1","Abexinostat",0.869169331624248
"MTOR",-0.564099920581279,-25.2349259025439,5,-1.83782972146575,0.0330437502809335,0.19437500165255,"A549","Vorinostat",0.711359589936775
"MAPK8",-0.291588074717452,-6.64610100166679,8,-1.81990049261205,0.0343870799502883,0.30691195529117,"PSC1","TSA",0.512986193953783
"PKM",-1.25756973044852,-34.8081379850275,1,-1.80346776902848,0.0356573914383227,0.188123879145074,"A549","TSA",0.72555607461057
"GSK3B",-0.385543216016849,-12.7793879399667,8,-1.8003459641217,0.0359030136942043,0.211194198201202,"A549","CUDC101",0.675318016648701
"CDK6",-0.588238459628958,-28.1010066849771,4,-1.79630774996131,0.0362227929960253,0.137822034106558,"HCT116","Abexinostat",0.860681344649639
"MAPK3",-0.508928346751937,-13.5761187919657,15,-1.79486659440248,0.0363374787203032,0.497203233436823,"PC9","Vorinostat",0.303466055695711
"MAPK11",-0.809690639780533,-1070.0914928173,2,-1.78661503277814,0.0369998651695645,0.261175518843985,"H292","Vorinostat",0.583067533864217
"RPS6KB1",-1.72128139288221,-7.04875653841802,2,-1.78219550658586,0.0373586776574203,0.420285123645978,"PC9","CUDC101",0.376455981949839
"TBK1",-1.01801511687681,-20.1480487376132,1,-1.77304257063852,0.0381108265189379,0.208233632172917,"PSC1","CUDC101",0.681449125509887
"CDK4",-0.311575896045302,-3.78859103263741,6,-1.77102991603808,0.0382778635332747,0.277514510616242,"PSC1","Panobinostat",0.556714303655524
"CDK1",-0.174271503666689,-8.32520317122352,53,-1.76735150543923,0.0385846895350846,0.137822034106558,"HCT116","Abexinostat",0.860681344649639
"CDK4",-0.577296582231478,-27.5782972890516,4,-1.76166154844589,0.0390632490804299,0.137822034106558,"HCT116","Abexinostat",0.860681344649639
"CDK1",-0.197625575191968,-3.87919457277258,53,-1.75628999465416,0.0395194524035407,0.174544248115638,"HCT116","Vorinostat",0.758094458237931
"MAP3K3",-0.812432590554944,-26.1388614504737,1,-1.75390073055537,0.0397237592033576,0.242524003557341,"PSC1","Vorinostat",0.615245271096358
"CDK6",-0.601466875198892,-5.24561075628783,2,-1.7537425675497,0.0397373140268774,0.15894925610751,"PSC1","Abexinostat",0.798741500269873
"MAPK3",-0.347583255426285,-6.59622614550265,16,-1.74844853120658,0.0401931952573165,0.253851759519894,"H292","CUDC101",0.595419822028403
"CDK1",-0.168786073077285,-3.34052998841962,65,-1.74729215562842,0.0402933365488065,0.208233632172917,"PSC1","CUDC101",0.681449125509887
"CDK6",-0.538903757312927,-96.8224465298567,4,-1.74563780852742,0.0404369540383739,0.164858351079524,"HCT116","Belinostat",0.782889048303095
"MAPK11",-0.863019974671576,-28.3207967899373,2,-1.74143216606064,0.0408039270073516,0.222566874585554,"H292","Panobinostat",0.652539472774108
"SGK1",-1.2795494019018,-7.41219094650962,3,-1.72914278604432,0.0418917715850484,0.459490191783076,"PC9","Panobinostat",0.337723754571559
"MAP3K1",-0.796035483968519,-25.6113079005128,1,-1.71980657526547,0.0427338035056465,0.24785606033275,"PSC1","Vorinostat",0.605800457687237
"MAPK3",-0.280649107615671,-9.20975942542394,16,-1.7151073037128,0.0431627777489165,0.225197101298695,"H292","Panobinostat",0.647437203954278
"EGFR",-2.06873166529793,-11.9837765525023,1,-1.71007623839862,0.0436258880472278,0.459490191783076,"PC9","Panobinostat",0.337723754571559
"MAPK1",-0.70094472855326,-2.87041314621214,19,-1.69859010066974,0.0446982214822054,0.429379470694392,"PC9","CUDC101",0.367158723703398
"PRKCH",-0.621623933917214,-16.9847392990995,3,-1.69159240320236,0.0453618579780066,0.226809289890033,"H292","TSA",0.644339161131194
"CDK2",-0.0307082965062879,-0.373395947016317,66,-1.68465219981505,0.0460278469329911,0.306916722170911,"PSC1","Panobinostat",0.512979448652875
"PLK1",-0.461598701522711,-15.3003570917088,5,-1.68369402019448,0.0461204088006587,0.237775417162349,"A549","CUDC101",0.623833047709804
"PLK1",-0.530474318624903,-113.342878651683,5,-1.67170449440211,0.0472913037316981,0.25501012415566,"A549","Abexinostat",0.593442577300727
"EIF2AK2",-1.0598842456687,-35.13139742619,1,-1.66903639676236,0.0475550834324698,0.237775417162349,"A549","CUDC101",0.623833047709804
"CDK1",-0.136897979925866,-24.5958525275616,53,-1.66262060254421,0.0481942021935759,0.182351177184247,"HCT116","Belinostat",0.739091428714485
"EGFR",-1.79533571181947,-33.4904218407788,1,-1.65361397009086,0.0491029861880608,0.366040767754185,"PC9","Abexinostat",0.436470542406989
"MAPK3",-0.584093784238794,-4.51279410675367,15,-1.65237695758612,0.0492288649273262,0.473864919913955,"PC9","TSA",0.324345440808311
"MTOR",-0.828551059891499,-33.7301104429876,5,-1.65063632097427,0.0494064288708518,0.411353834686573,"PC9","Belinostat",0.385784449797057
"CDK2",0.0197929875713322,0.152542224870141,66,-1.64095945874835,0.0504029155419258,0.327652199227251,"PSC1","Belinostat",0.484586912679447
"EIF2AK2",-0.77346484242105,-38.9377238568211,2,-1.62270515881656,0.0523262240354552,0.27300638627194,"H292","Abexinostat",0.563827193654396
"PIM1",-2.13058869375296,-8.72489591061208,1,-1.60941067706839,0.0537632860779257,0.439881431546665,"PC9","CUDC101",0.356664370250968
"CDK4",-0.49594753691847,-89.1046930426567,4,-1.60791479339062,0.0539269207145372,0.182351177184247,"HCT116","Belinostat",0.739091428714485
"MTOR",-0.893286371946012,-6.9016613149118,5,-1.60276588472196,0.0544931756931637,0.473864919913955,"PC9","TSA",0.324345440808311
"CDC7",-0.419484625943856,-3.65847755991688,3,-1.60206660074928,0.05457044134489,0.186181505764919,"PSC1","Abexinostat",0.730063461610068
"CDK2",-0.0887869960743868,-2.84841754042992,64,-1.5974058959343,0.0550876295334578,0.188364152598275,"HCT116","Panobinostat",0.725001743847083
"PLK1",-0.441264888093603,-7.40660026781483,5,-1.59691470572097,0.0551423606508693,0.272808728288986,"A549","Belinostat",0.564141738901545
"TTK",-0.837139380235279,-31.6386422662617,2,-1.59576160744379,0.0552710139972873,0.158343986046282,"HCT116","CUDC101",0.800398426618008
"DYRK1A",-0.435430803663038,-9.9246757714138,3,-1.5923253253509,0.0556558126884805,0.30691195529117,"PSC1","TSA",0.512986193953783
"MAPK11",-0.541961263432665,-12.35280043347,2,-1.5890954148608,0.0560194264083551,0.30691195529117,"PSC1","TSA",0.512986193953783
"JAK2",-1.63675543626653,-43.6619150376803,1,-1.5721003363067,0.0579636417668457,0.497203233436823,"PC9","Vorinostat",0.303466055695711
"RET",-1.63675543626653,-43.6619150376803,1,-1.5721003363067,0.0579636417668457,0.497203233436823,"PC9","Vorinostat",0.303466055695711
"PKM",-1.00573157604868,-32.0474161545359,1,-1.5698994512086,0.0582192526513555,0.317559559916484,"H292","Belinostat",0.498174808585489
"SGK1",-0.633553689451225,-20.3253350335788,2,-1.56478246729444,0.0588169620496388,0.18893198422,"HCT116","Panobinostat",0.723694514315207
"MAPK15",-0.760733646628761,-9.25010152718692,1,-1.54764265634586,0.0608541776718186,0.306916722170911,"PSC1","Panobinostat",0.512979448652875
"PBK",-0.760733646628761,-9.25010152718692,1,-1.54764265634586,0.0608541776718186,0.306916722170911,"PSC1","Panobinostat",0.512979448652875
"PLK3",-0.760733646628761,-9.25010152718692,1,-1.54764265634586,0.0608541776718186,0.306916722170911,"PSC1","Panobinostat",0.512979448652875
"VRK1",-0.760733646628761,-9.25010152718692,1,-1.54764265634586,0.0608541776718186,0.306916722170911,"PSC1","Panobinostat",0.512979448652875
"MAPK3",-0.615610603563398,-3.56611736563348,15,-1.54734062652722,0.0608905650525616,0.459490191783076,"PC9","Panobinostat",0.337723754571559
"CHEK2",-0.978597523267777,-32.4370313557352,1,-1.54457414625081,0.0612246518803598,0.263147192697298,"A549","CUDC101",0.579801258755484
"PIM1",-1.88436425716783,-10.9157705565304,1,-1.54379721155855,0.0613187335369065,0.459490191783076,"PC9","Panobinostat",0.337723754571559
"MAP3K2",-1.07065455356378,-29.6345328075402,1,-1.54290045912875,0.0614274647090529,0.254344227019162,"A549","TSA",0.59457811532445
"SGK1",-1.07452247544521,-8.30191798921979,3,-1.53606071922488,0.0622617445436571,0.473864919913955,"PC9","TSA",0.324345440808311
"CDK2",-0.114206430535827,-3.7855374454116,47,-1.51551659566432,0.0648208154078267,0.263147192697298,"A549","CUDC101",0.579801258755484
"AKT1",-0.779321328027143,-3.19137029492995,11,-1.51421085363841,0.0649861848917701,0.445512418369442,"PC9","CUDC101",0.351140185781639
"CDK6",-0.510402111518236,-10.0186886186666,4,-1.51133474145623,0.0653515933774983,0.247275055280386,"HCT116","Vorinostat",0.60681969237501
"MTOR",-0.414122820374656,-6.95102256050003,5,-1.51037333141595,0.0654740947893566,0.272808728288986,"A549","Belinostat",0.564141738901545
"MTOR",-0.764214634242793,-14.255757465967,5,-1.50857995973553,0.0657030793347128,0.366040767754185,"PC9","Abexinostat",0.436470542406989
"MAPK1",-0.39914303420611,-16.2490150312334,19,-1.49912386279324,0.0669207510363679,0.4843740064602,"PC9","Belinostat",0.314819170966224
"MAPK9",-0.47678016865095,-15.3397228466524,2,-1.49338941491356,0.0676676410615592,0.29692046845683,"PSC1","Vorinostat",0.5273598629245
"MAP3K3",-0.681330706570031,-5.25093553855762,1,-1.48988530147476,0.0681271984903138,0.380696311930844,"PSC1","Belinostat",0.419421330477048
"PRKG1",-0.681880355629596,-21.9385292377637,1,-1.48244624268412,0.0691107986925379,0.29692046845683,"PSC1","Vorinostat",0.5273598629245
"EGFR",-1.70860744799469,-13.2009513371462,1,-1.48185087197812,0.0691899897639919,0.473864919913955,"PC9","TSA",0.324345440808311
"MAPK13",-1.47165876657026,-6.02653604232169,2,-1.48101016984567,0.0693019317463576,0.445512418369442,"PC9","CUDC101",0.351140185781639
"PRKCB",-1.47165876657026,-6.02653604232169,2,-1.48101016984567,0.0693019317463576,0.445512418369442,"PC9","CUDC101",0.351140185781639
"CDK1",-0.0518313956396095,-1.18138127154889,65,-1.47996306494046,0.0694415519089335,0.30691195529117,"PSC1","TSA",0.512986193953783
"PKM",-0.94500317875712,-1248.92127016239,1,-1.47464777347283,0.0701536319596537,0.324842992530164,"H292","Vorinostat",0.488326497340375
"SGK1",-0.901428260090928,-24.0464049989231,3,-1.47096971396015,0.0706496537777162,0.497203233436823,"PC9","Vorinostat",0.303466055695711
"MTOR",-0.398604592556785,-13.2123261707525,5,-1.46801744600559,0.0710497420282705,0.263147192697298,"A549","CUDC101",0.579801258755484
"HIPK2",-0.742828828073488,-13.8568239042382,5,-1.46317907049663,0.0717091930897914,0.366040767754185,"PC9","Abexinostat",0.436470542406989
"PAK4",-0.705218733417416,-19.5196738503437,2,-1.46154468592763,0.0719330108307371,0.254344227019162,"A549","TSA",0.59457811532445
"PLK1",-0.443343344467874,-19.8328984615072,5,-1.4594026344524,0.0722271606742905,0.301392817650703,"A549","Vorinostat",0.5208671013639
"HIPK2",-0.895050709772395,-5.18486176288418,5,-1.4569005324763,0.0725719195247401,0.459490191783076,"PC9","Panobinostat",0.337723754571559
"CDK4",-0.53026457334456,-8.90045375673177,3,-1.45677355065015,0.072589449606444,0.279190190794016,"A549","Belinostat",0.554099844497544
"STK11",-0.931066043662935,-1230.50187766135,1,-1.45288188423781,0.0731282757990264,0.324842992530164,"H292","Vorinostat",0.488326497340375
"ATR",-0.548723968877477,-26.2133419963043,3,-1.44729268357649,0.0739074837047479,0.217616479797313,"HCT116","Abexinostat",0.662308219203495
"CDK3",-0.643949023261389,-20.5192944342495,2,-1.44569724642975,0.0741310685117193,0.355829128856252,"H292","Belinostat",0.448758502615997
"CSNK1A1",-0.927928205203325,-17.3096913438666,3,-1.43775587919889,0.0752516660011561,0.366040767754185,"PC9","Abexinostat",0.436470542406989
